,EMS_raw_score,Whole_Blood_EMSv2,Muscle_Skeletal_EMSv2,Liver_EMSv2,Brain_Cerebellum_EMSv2,Prostate_EMSv2,Spleen_EMSv2,Skin_Sun_Exposed_Lower_leg_EMSv2,Artery_Coronary_EMSv2,Esophagus_Muscularis_EMSv2,Esophagus_Gastroesophageal_Junction_EMSv2,Artery_Tibial_EMSv2,Heart_Atrial_Appendage_EMSv2,Nerve_Tibial_EMSv2,Heart_Left_Ventricle_EMSv2,Adrenal_Gland_EMSv2,Adipose_Visceral_Omentum_EMSv2,Pancreas_EMSv2,Lung_EMSv2,Pituitary_EMSv2,Brain_Nucleus_accumbens_basal_ganglia_EMSv2,Colon_Transverse_EMSv2,Adipose_Subcutaneous_EMSv2,Esophagus_Mucosa_EMSv2,Brain_Cortex_EMSv2,Thyroid_EMSv2,Stomach_EMSv2,Breast_Mammary_Tissue_EMSv2,Colon_Sigmoid_EMSv2,Skin_Not_Sun_Exposed_Suprapubic_EMSv2,Testis_EMSv2,Artery_Aorta_EMSv2,Brain_Amygdala_EMSv2,Brain_Anterior_cingulate_cortex_BA24_EMSv2,Brain_Caudate_basal_ganglia_EMSv2,Brain_Cerebellar_Hemisphere_EMSv2,Brain_Frontal_Cortex_BA9_EMSv2,Brain_Hippocampus_EMSv2,Brain_Hypothalamus_EMSv2,Brain_Putamen_basal_ganglia_EMSv2,Brain_Spinal_cord_cervical_c-1_EMSv2,Brain_Substantia_nigra_EMSv2,Cells_Cultured_fibroblasts_EMSv2,Cells_EBV-transformed_lymphocytes_EMSv2,Kidney_Cortex_EMSv2,Minor_Salivary_Gland_EMSv2,Ovary_EMSv2,Small_Intestine_Terminal_Ileum_EMSv2,Uterus_EMSv2,Vagina_EMSv2
0,0.0,2.5560270785595497e-07,1.1627056625222486e-07,3.487263462483104e-08,1.6686397433587606e-07,1.0257451968724944e-07,8.954207453217976e-08,1.3126547292464906e-07,5.2883295127386856e-08,1.3311289253081174e-07,3.989843255380528e-08,1.5543461192415297e-07,7.40203588555942e-08,1.1927815114765278e-07,6.101238098994959e-08,4.482025667717424e-08,7.397972464107891e-08,5.200891248972379e-08,1.0249441868641868e-07,4.907638725602785e-08,2.925455946984796e-08,1.0415189001289125e-07,1.3085078725567142e-07,1.3132624968851991e-07,5.231949577866082e-08,1.3229810765565528e-07,1.0321764702158761e-07,1.116600866813627e-07,8.271637413768517e-08,1.0369787728773101e-07,1.0792138338756145e-07,9.431179783989995e-08,3.291505861439326e-08,2.595920187893038e-08,8.211759824278773e-08,1.0610946324299817e-07,4.32345380229237e-08,3.843787219978096e-08,7.999606628106833e-08,8.389963956302985e-08,3.955548019737618e-08,2.7066771205214864e-08,1.4334070782918555e-07,4.5081961826965655e-08,0.0,1.1547823620685334e-07,1.8634512380125994e-08,1.4743911461546226e-07,4.96163919603469e-09,4.723820775065855e-08
1,0.001,2.5976454146129134e-07,1.1122907484240169e-07,3.4106513941648165e-08,1.656340936809305e-07,1.0188602214275061e-07,9.139347814410974e-08,1.3568966387233206e-07,5.2384858107521684e-08,1.3224616912224285e-07,4.23387209583673e-08,1.5877856687361028e-07,7.493894417689426e-08,1.1978598931081006e-07,6.067130643948139e-08,4.766907315983165e-08,7.755619955861287e-08,5.1532870601839925e-08,1.0570394490363187e-07,5.1200066698483905e-08,2.8843192171163528e-08,1.0329400765568225e-07,1.3125477183066802e-07,1.308068257395621e-07,5.185217654759462e-08,1.3269912963498188e-07,1.0932709039154666e-07,1.108323804248086e-07,8.485633272651866e-08,1.0452414726981638e-07,1.0753504986722678e-07,9.504499597459709e-08,3.194830620502229e-08,2.7504328466834385e-08,8.092758520905829e-08,1.0580704819787295e-07,4.22571679826838e-08,4.006436517639318e-08,8.476449276123186e-08,8.441983728789442e-08,3.873322994982294e-08,2.6004485754678035e-08,1.4202617694538068e-07,4.325035174569363e-08,0.0,1.119998603487157e-07,1.830621623014496e-08,1.5020126927684473e-07,4.822321428072839e-09,4.6088635675400987e-08
2,0.002,2.664786447676385e-07,1.082820111206365e-07,3.343280195378206e-08,1.6494438710957665e-07,9.911832953404558e-08,9.054957563169337e-08,1.3936151424726267e-07,5.2092692958812315e-08,1.360159229487207e-07,4.2371901806509464e-08,1.6103363963295196e-07,7.604353218842012e-08,1.2065757450278654e-07,6.212693415115659e-08,4.886577680641851e-08,7.870236952889878e-08,5.12394683500646e-08,1.0698780669836547e-07,5.2173596946900274e-08,2.8525186030041667e-08,1.0282506077280293e-07,1.307493041018567e-07,1.294601865300094e-07,5.007397812851646e-08,1.3220995023181703e-07,1.1320255184626629e-07,1.1299296124330831e-07,8.44987016224766e-08,1.0323896007434627e-07,1.0862655714379491e-07,9.753167124643841e-08,3.409214723419138e-08,2.7427608285168815e-08,7.998556541751727e-08,1.0320086962956507e-07,4.139710706720149e-08,4.7036931312680936e-08,8.275668141406505e-08,8.482733566724602e-08,3.802814151515035e-08,3.3066894390611725e-08,1.3950095851129255e-07,4.505085696726682e-08,0.0,1.0900316962496973e-07,1.8020206470631928e-08,1.4631580897778483e-07,4.702460532823192e-09,4.735539634983192e-08
3,0.003,2.6591034664744474e-07,1.0554120076322995e-07,3.282375717621028e-08,1.6651274902912114e-07,9.6530164610648e-08,9.131524135586346e-08,1.4210607694083615e-07,5.346654116542016e-08,1.3729703264255303e-07,4.381711164631547e-08,1.6347735056890947e-07,7.578645497166553e-08,1.230150533976548e-07,6.213482515977406e-08,4.836245351640291e-08,8.00767991632045e-08,5.0998416704723105e-08,1.0968548549643728e-07,5.199406408817146e-08,3.149717100013028e-08,1.0647282736789191e-07,1.331719154402422e-07,1.2979599133968861e-07,4.9907698581328064e-08,1.294510637999107e-07,1.1458155894488412e-07,1.1027751202871235e-07,8.708746146799945e-08,9.968038479027849e-08,1.0868678100037615e-07,9.577446815112824e-08,3.593500642344849e-08,2.7393316292228277e-08,8.255166545740446e-08,1.0088778871374316e-07,4.258403422280138e-08,5.08952103066818e-08,8.748238888782104e-08,8.300400016413922e-08,3.741677671791147e-08,3.183583738570808e-08,1.3885405895268983e-07,4.343468915193459e-08,0.0,1.0105019208316217e-07,1.7765132946366863e-08,1.4510371410007307e-07,4.598581168893839e-09,4.846618230815946e-08
4,0.004,2.612605746394592e-07,1.013437203460903e-07,3.443549529607634e-08,1.6810120539861514e-07,9.019850976629057e-08,9.364117847844415e-08,1.4134690453904038e-07,5.490442032989227e-08,1.416083629076899e-07,4.404747075554554e-08,1.631542199254486e-07,8.022601774457813e-08,1.2682494377529773e-07,6.381252470795518e-08,5.137213724372853e-08,7.885870843781019e-08,4.938578446699605e-08,1.1387252288304061e-07,5.19232024885258e-08,3.286533887257718e-08,1.0516265248724135e-07,1.3041343716279946e-07,1.2628986478745544e-07,4.981432129904247e-08,1.3090584779844798e-07,1.1891005615944022e-07,1.1160143861941131e-07,8.704194863702148e-08,9.882099592585129e-08,1.0997281156948416e-07,9.583427574321759e-08,3.521121162930915e-08,2.738708488815101e-08,8.021260998269462e-08,9.877747914047097e-08,4.187665260459856e-08,4.957150204483742e-08,8.783452453852081e-08,8.13633214009768e-08,3.6870589613123705e-08,3.0685315260705416e-08,1.3673267141330423e-07,4.505015964028324e-08,0.0,9.883610825838909e-08,1.7544994036254953e-08,1.4413934381666318e-07,4.501694205986951e-09,4.77187997724674e-08
5,0.005,2.637578022311692e-07,1.0989540461708385e-07,3.392221980238075e-08,1.6797297546882626e-07,8.918817740050517e-08,9.324101698695387e-08,1.384730871057985e-07,5.332024260868234e-08,1.4055405992781512e-07,4.565662481444637e-08,1.6153383091885373e-07,8.030508051849918e-08,1.2581820896365576e-07,6.563105972709597e-08,5.437547000181819e-08,7.503451611346259e-08,4.936725768834273e-08,1.1355352592996425e-07,5.194183411131812e-08,3.590792420346602e-08,1.0403494639468221e-07,1.2782197583019087e-07,1.324920565090399e-07,4.821678103477457e-08,1.3107839349764758e-07,1.1401920455974565e-07,1.1189348161019386e-07,8.712621006340411e-08,1.0194762863432936e-07,1.0923550059441766e-07,9.734613097276617e-08,3.718598770070747e-08,2.7399881381378814e-08,8.299001515011717e-08,9.685113832073492e-08,4.124525528772565e-08,5.095874522134363e-08,9.058014340014223e-08,8.215376082244396e-08,3.6378242210982964e-08,3.7062462351795805e-08,1.3648710578922576e-07,4.363233597519139e-08,0.0,9.214118372497705e-08,1.7350195210976514e-08,1.3710482465902618e-07,4.413023588655894e-09,4.912382046325066e-08
6,0.006,2.672692960818472e-07,1.1095233502721072e-07,3.347067275640247e-08,1.6970708454808375e-07,8.828599307704371e-08,9.29647028997545e-08,1.4222676634580665e-07,5.332401749901385e-08,1.4102964795016061e-07,4.742727423073433e-08,1.6010464102248064e-07,7.882670470024224e-08,1.262677660553412e-07,6.75848383006516e-08,5.4033851583696957e-08,7.263827443033676e-08,4.628013733561838e-08,1.1836870340212365e-07,5.2058033244476846e-08,3.7404394085040594e-08,1.0435379567434906e-07,1.2695587738075665e-07,1.3362394712922215e-07,4.671052502614514e-08,1.3283614281764995e-07,1.1602457600947063e-07,1.1104690022432604e-07,9.149482228664224e-08,1.0274212151027947e-07,1.0975097124693411e-07,9.907802177717186e-08,3.9473022178281734e-08,2.7433711243772797e-08,8.250893487921225e-08,9.508902258405476e-08,4.0682325508892836e-08,4.954400707695598e-08,8.908519184160902e-08,8.546931654286343e-08,3.593812518045538e-08,3.5796901440908394e-08,1.3636892302608465e-07,4.234281524285685e-08,0.0,8.791190540171751e-08,1.7178155059002264e-08,1.3457963373464798e-07,4.334476054693554e-09,5.038782569650716e-08
7,0.007,2.689059762935565e-07,1.1553696023005404e-07,3.3064400158604517e-08,1.699192846461815e-07,9.013682151180643e-08,9.572559315596386e-08,1.4387721066562203e-07,5.185879113922115e-08,1.4031829537263064e-07,4.936808107915918e-08,1.5893466811426337e-07,7.750588688954544e-08,1.2956878557924264e-07,7.129374012640156e-08,5.546627783438927e-08,7.171945556286675e-08,4.4837763268102096e-08,1.2117206546938889e-07,5.357831197261069e-08,3.88731083531366e-08,1.0484374193209277e-07,1.262690742759742e-07,1.3926808113044038e-07,4.52859619477999e-08,1.322120534543035e-07,1.1411132576751256e-07,1.0779256853948715e-07,9.320041387627874e-08,1.0512596477293519e-07,1.1038682200408599e-07,9.640120442468852e-08,3.880691545086228e-08,2.9097045669258182e-08,8.212821471338837e-08,9.558793006533215e-08,4.0177370426408e-08,4.852296459868621e-08,9.20014331586341e-08,8.415052417783703e-08,3.34104233934603e-08,3.46038075346523e-08,1.3651102826383157e-07,4.117526144751202e-08,0.0,8.163751472685533e-08,1.702663536490921e-08,1.3441891292113653e-07,4.263358754274014e-09,4.785220837510942e-08
8,0.008,2.7391781848319474e-07,1.1904240835813364e-07,3.688350743434751e-08,1.7551909899855127e-07,9.209345387670473e-08,9.71319455538794e-08,1.4875078325761717e-07,5.1977004995677724e-08,1.4135859831101683e-07,5.423487333366107e-08,1.5642993341581226e-07,7.781571174969262e-08,1.332108719745741e-07,7.369136554414373e-08,5.5251919936236715e-08,7.368352912992816e-08,3.881933632453703e-08,1.2575578786949435e-07,5.3906022670275376e-08,3.8776184229849995e-08,1.0425674969299783e-07,1.2313302437768662e-07,1.441265783928685e-07,4.543057215654503e-08,1.3711304173703466e-07,1.1375771739788008e-07,1.0604817083688478e-07,9.362327725247184e-08,1.0520556984704927e-07,1.111062013317827e-07,9.69629509080116e-08,3.8187771551893205e-08,2.9173026274431933e-08,8.678123897568699e-08,9.406564855906208e-08,3.9721029323670455e-08,5.257409571523986e-08,9.259918482211378e-08,8.299465655730956e-08,3.118438423720261e-08,4.0161707891048765e-08,1.3510433841745823e-07,4.010650579006477e-08,0.0,8.029861799499791e-08,1.689987334427463e-08,1.3037707660716909e-07,4.199160301487182e-09,4.7349163667943876e-08
9,0.009,2.736744339861442e-07,1.247652821329692e-07,3.6507820106707855e-08,1.7765950489087605e-07,9.157969637981806e-08,9.866629228880253e-08,1.530798048905977e-07,5.371948285079324e-08,1.4411950357705876e-07,5.666868944414255e-08,1.619378130205679e-07,8.137361597091692e-08,1.4129911675878408e-07,7.63797531320342e-08,5.8411082987161094e-08,7.299988076599596e-08,3.9046122610650904e-08,1.2730205304995228e-07,5.823150085692652e-08,4.034822186761813e-08,1.0782048354869664e-07,1.272990309666772e-07,1.4533213098009472e-07,4.2607198823603595e-08,1.3984491822732184e-07,1.2061693268768338e-07,1.0713358324024126e-07,9.569439537177814e-08,1.0825994239853222e-07,1.0873069417618126e-07,9.916888078961335e-08,3.761645953463433e-08,3.085576999570186e-08,8.81884745489684e-08,9.268877616201469e-08,3.9324441305347285e-08,5.636235774641299e-08,9.34517281302858e-08,8.188131845872757e-08,3.091076658539314e-08,3.890249200883393e-08,1.306749231962095e-07,3.9132236676435884e-08,0.0,7.905488752315e-08,1.6793830997102694e-08,1.263688704999284e-07,4.1408529405377444e-09,5.085083752284998e-08
